CODIGO_POSTAL,CODIGO_MUNICIPIO,edad_media,p_poblacion_menor_de_18,p_poblacion_mayor_65,media_personas_por_hogar,poblacion_municipio,poblacion_cp,crecimiento_poblaconal_2015,renta_media_por_persona,renta_media_por_hogar,p_suelo_urbano,p_agropecuario,p_cultural,p_deportivo,p_industrial,p_oficina,p_otros,p_publico,p_residencial,p_retail,p_salud,p_solteros,p_casados,p_viudos,p_separados,p_divorciados,p_extranjeros,p_hogares_unipersonales,p_ocup_agropecuaria,p_ocup_pesca,p_ocup_mineria,p_ocup_manufactura,p_ocup_dirstr_gas_elec_agua,p_ocup_construccion,p_ocup_taller_automotriz,p_ocup_hosteleria,p_ocup_transporte,p_ocup_financiera,p_ocup_inmobiliarias,p_ocup_adm_publica,p_ocup_educacion,p_ocup_medicina,p_ocup_otros,p_casas_con_servicio_domestico,prop_masculinidad,prop_reemplazamiento,prop_dependientes,prop_analfabetas,prop_paro
28818,28012,38.3,20.7,12.6,2.52,1237,1125,0.0181,10436,26905,0.0178,0.150107991,0.001079914,0.006479482,0.060475162,0.003239741,0.093952484,0.001079914,0.673866091,0.006479482,0.003239741,0.47,0.466,0.058,0.004,0.002,0.006222222,0.169014085,0.065753425,0,0,0.216438356,0.005479452,0.18630137,0.150684932,0.04109589,0.093150685,0.021917808,0.038356164,0.071232877,0.057534247,0.024657534,0.02739726,0,114.3,1.4,0.5,1.6,24.4
28821,28049,42.2,15.9,16.7,2.87,81350,33924,-0.0186,11255,33598,0.6011,0.004025765,0.000992398,0.000617908,0.020353518,0.017170355,0.327828334,0.000243418,0.578474329,0.049451373,0.000842602,0.4972626268,0.03429767592,0.013606355,0.007970586657,0.01626321722,0.212723928,0.1485898416,0.0056,0,0.0023,0.0292,0.0032,0.1652,0,0.0819,0.1786,0.0097,0.025,0.0458,0.0185,0.0324,0.4026,0.02042571997,98.74626516,0.808783358,0.363213292,0.86496936,17.66603194
28822,28049,42.2,15.9,16.7,2.87,81350,27014,-0.0186,11255,33598,0.6011,0.004025765,0.000992398,0.000617908,0.020353518,0.017170355,0.327828334,0.000243418,0.578474329,0.049451373,0.000842602,0.4768695652,0.02956521739,0.01495652174,0.009147826087,0.01613913043,0.1286618883,0.1320134117,0.0056,0,0.0023,0.0292,0.0032,0.1652,0,0.0819,0.1786,0.0097,0.025,0.0458,0.0185,0.0324,0.4026,0.02042571997,98.04985337,1.544665646,0.367822319,0.9380112282,17.66603194
28823,28049,42.2,15.9,16.7,2.87,81350,31554,-0.0186,11255,33598,0.6011,0.004025765,0.000992398,0.000617908,0.020353518,0.017170355,0.327828334,0.000243418,0.578474329,0.049451373,0.000842602,0.4761335374,0.04103692367,0.0170748039,0.01109623111,0.02252726229,0.1645146159,0.1580474493,0.0056,0,0.0023,0.0292,0.0032,0.1652,0,0.0819,0.1786,0.0097,0.025,0.0458,0.0185,0.0324,0.4026,0.02042571997,100.3683007,0.808114035,0.325918153,0.9336415679,17.66603194
28830,28130,39.9,18.4,11.8,2.85,39486,29519,-0.0066,11108,31904,0.103,0.015265276,0.001783714,0.000622226,0.039407641,0.027958684,0.239722902,0.003982246,0.628116315,0.042643216,0.000497781,0.448,0.506,0.029,0.01,0.006,0.022392357,0.082002824,0.002609556,9.00E-05,0.000449924,0.226041573,0.003239449,0.109421398,0.174480338,0.070458022,0.12399892,0.032124539,0.069018267,0.060289751,0.033654279,0.034104202,0.042382795,0.017367048,100.4,2,0.4,1.6,20.2
28840,28084,38.1,20.8,10.3,2.92,22850,14677,0.0042,9866,29084,0.1751,0.04400089,0.001187208,0.001113007,0.105438896,0.009942866,0.129108852,0.009275061,0.664762187,0.034429027,0.000742005,0.485,0.466,0.03,0.012,0.007,0.023301765,0.078076648,0.006427535,0,0.005598175,0.254820651,0.003524777,0.138295667,0.147211279,0.067385445,0.100352478,0.021770682,0.054115696,0.063031308,0.020941323,0.047480821,0.04934688,0.019282604,101.1,1.9,0.4,2.2,26.1
28850,28148,38.8,20.3,13.3,2.86,126543,88990,0.0037,10454,31289,0.6417,0.011677838,0.000929514,0.000811688,0.016822895,0.005341433,0.305797026,0.001387725,0.650437264,0.005930561,0.000864055,0.479,0.469,0.034,0.012,0.006,0.036869311,0.080184509,0.003955446,0,0.000664515,0.317574837,0.004398456,0.106322385,0.146889437,0.057971014,0.092937156,0.0248402,0.077969749,0.060439213,0.029491804,0.022372002,0.037845706,0.01623315,99.6,1.6,0.4,1.5,24
28860,28104,33.3,29.9,6.7,3.06,23297,5017,0.0292,15491,48189,0.1122,0.069155491,0.00086988,0.001884741,0.04450888,0.00108735,0.201812251,0.00079739,0.66567597,0.013628126,0.00057992,0.515,0.429,0.029,0.018,0.009,0.061590592,0.121088435,0.008324662,0,0.003121748,0.247658689,0.006243496,0.081165453,0.116545265,0.055671176,0.167533819,0.034859521,0.068158169,0.066597294,0.041103018,0.041103018,0.051508845,0.009365245,104.6,1.6,0.4,0.6,18
28863,28041,35.3,25.9,7.2,3.13,7046,2074,0.0178,15288,48264,0.0524,0.064631463,0.001650165,0.00660066,0.03960396,0.01320132,0.132838284,0.000825083,0.716171617,0.023652365,0.000825083,0.465,0.488,0.023,0.012,0.012,0.051108968,0.108108108,0.019753086,0,0.001234568,0.216049383,0.007407407,0.091358025,0.151851852,0.035802469,0.154320988,0.050617284,0.062962963,0.055555556,0.054320988,0.049382716,0.034567901,0.014814815,102.5,2,0.5,0.7,17.1
28864,28002,37.2,22,10.2,2.8,4151,1622,0.0147,12088,35093,0.0808,0.085227273,0.001352814,0.003787879,0.183441558,0.021915584,0.207251082,0.001082251,0.476731602,0.017857143,0.001352814,0.475,0.475,0.04,0.007,0.004,0.046855734,0.080831409,0.028571429,0,0.002721088,0.224489796,0.004081633,0.131972789,0.125170068,0.034013605,0.059863946,0.029931973,0.057142857,0.055782313,0.024489796,0.034013605,0.183673469,0.004081633,107.9,1.7,0.4,0.8,14.4
