CODIGO_POSTAL,edad_media,p_poblacion_menor_de_18,p_poblacion_mayor_65,media_personas_por_hogar,poblacion,crecimiento_poblaconal_2015,renta_media_por_persona,renta_media_por_hogar,p_suelo_urbano,p_agropecuario,p_cultural,p_deportivo,p_industrial,p_oficina,p_otros,p_publico,p_residencial,p_retail,p_salud,p_solteros,p_casados,p_viudos,p_separados,p_divorciados,p_extranjeros,p_hogares_unipersonales,p_ocup_agropecuaria,p_ocup_pesca,p_ocup_mineria,p_ocup_manufactura,p_ocup_dirstr_gas_elec_agua,p_ocup_construccion,p_ocup_taller_automotriz,p_ocup_hosteleria,p_ocup_transporte,p_ocup_financiera,p_ocup_inmobiliarias,p_ocup_adm_publica,p_ocup_educacion,p_ocup_medicina,p_ocup_otros,p_casas_con_servicio_domestico,prop_masculinidad,prop_reemplazamiento,prop_dependientes,prop_analfabetas,prop_paro
28806,41.2,18.2,16.4,2.78,190260,-0.0107,11267,32751,0.1933,0.007951675,0.004029846,0.001138328,0.018894576,0.016592994,0.295341997,0.001346052,0.647309559,0.005849508,0.001545467,0.474,0.467,0.043,0.01,0.005,0.029300983,0.092694292,0.004835165,0,0.001318681,0.295531136,0.004542125,0.138608059,0.124249084,0.051721612,0.085714286,0.015970696,0.048937729,0.086886447,0.054945055,0.037655678,0.031648352,0.017289377,99.9,1.6,0.4,1.6,23.9
28807,41.2,18.2,16.4,2.78,190260,-0.0107,11267,32751,0.1933,0.007951675,0.004029846,0.001138328,0.018894576,0.016592994,0.295341997,0.001346052,0.647309559,0.005849508,0.001545467,0.449,0.476,0.056,0.013,0.006,0.026615653,0.154098361,0.005186466,0,0.000987898,0.256853544,0.005186466,0.084218326,0.12941467,0.040009879,0.068905903,0.033094591,0.065201284,0.096073104,0.115831069,0.050382811,0.034823413,0.013583601,94.2,1.3,0.4,1.4,22.5
28870,41.2,18.2,16.4,2.78,190260,-0.0107,11267,32751,0.1933,0.007951675,0.004029846,0.001138328,0.018894576,0.016592994,0.295341997,0.001346052,0.647309559,0.005849508,0.001545467,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28100,39.7,20.2,15.4,3,112307,0.0099,18118,55269,0.614,0.005681958,0.001595366,0.00521562,0.012554304,0.032827725,0.395798051,0.013793781,0.498588715,0.033281791,0.000662691,0.481,0.464,0.036,0.012,0.006,0.030155559,0.091908915,0.008041074,0,0.000604024,0.204046963,0.009324625,0.112990298,0.181471554,0.059458643,0.073464457,0.037789271,0.076409075,0.073011439,0.043338744,0.042017441,0.051115557,0.026463815,98.1,1.5,0.3,1.6,20.9
28108,39.7,20.2,15.4,3,112307,0.0099,18118,55269,0.614,0.005681958,0.001595366,0.00521562,0.012554304,0.032827725,0.395798051,0.013793781,0.498588715,0.033281791,0.000662691,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28109,39.7,20.2,15.4,3,112307,0.0099,18118,55269,0.614,0.005681958,0.001595366,0.00521562,0.012554304,0.032827725,0.395798051,0.013793781,0.498588715,0.033281791,0.000662691,0.548,0.412,0.017,0.011,0.013,0.160509063,0.058050718,0.004647404,0,0.001010305,0.159022025,0.013538089,0.046474035,0.128106688,0.017579309,0.074964639,0.084461507,0.164275611,0.064659527,0.05334411,0.061426551,0.045059608,0.081228531,93,1.2,0.3,0.1,12.4
28921,42.7,18.3,21.4,2.65,166944,0.0016,11941,32499,0.3101,0.006735713,0.001411925,0.000597992,0.020879878,0.009941613,0.341096152,0.000573075,0.582228018,0.035190153,0.001345481,0.464,0.471,0.049,0.011,0.005,0.030878709,0.11384204,0.005751849,0,0.000273898,0.170364284,0.004382361,0.153108737,0.176481329,0.072765452,0.087373322,0.026020268,0.060896558,0.097872729,0.030676527,0.040536839,0.047019082,0.026294166,99,1.3,0.3,1.8,25.4
28922,42.7,18.3,21.4,2.65,166944,0.0016,11941,32499,0.3101,0.006735713,0.001411925,0.000597992,0.020879878,0.009941613,0.341096152,0.000573075,0.582228018,0.035190153,0.001345481,0.465,0.485,0.036,0.009,0.005,0.025341567,0.082865775,0.003413268,0,0.000437598,0.169088045,0.003850866,0.129791703,0.185191668,0.069753194,0.085856818,0.033082444,0.064414493,0.099684929,0.046823035,0.041834413,0.044810082,0.021529844,99.5,1.4,0.3,1.2,22.4
28923,42.7,18.3,21.4,2.65,166944,0.0016,11941,32499,0.3101,0.006735713,0.001411925,0.000597992,0.020879878,0.009941613,0.341096152,0.000573075,0.582228018,0.035190153,0.001345481,0.484,0.46,0.04,0.01,0.006,0.026213318,0.08900473,0.003515082,0,0.000653969,0.182048557,0.005885719,0.100711191,0.166189814,0.063353225,0.116488188,0.049619881,0.057058775,0.095969917,0.048230197,0.043407177,0.046840513,0.019946048,97.5,1.2,0.3,0.8,22.9
28924,42.7,18.3,21.4,2.65,166944,0.0016,11941,32499,0.3101,0.006735713,0.001411925,0.000597992,0.020879878,0.009941613,0.341096152,0.000573075,0.582228018,0.035190153,0.001345481,0.486,0.457,0.04,0.011,0.007,0.034632529,0.097655744,0.003396667,0,0.000424583,0.171743976,0.006262605,0.069313236,0.178325019,0.045324276,0.081201571,0.073665216,0.079715529,0.098715635,0.078760217,0.055301985,0.0446874,0.012737501,96.6,1.4,0.3,0.4,23.3
28925,42.7,18.3,21.4,2.65,166944,0.0016,11941,32499,0.3101,0.006735713,0.001411925,0.000597992,0.020879878,0.009941613,0.341096152,0.000573075,0.582228018,0.035190153,0.001345481,0.458,0.469,0.053,0.012,0.007,0.031856553,0.129357088,0.004563123,0,0.000507014,0.184552983,0.005577151,0.082136218,0.185229001,0.048335305,0.089403414,0.058644583,0.075376035,0.09481156,0.054588474,0.046645259,0.051884401,0.017745479,95.3,1.3,0.3,0.7,22.9
28620,41.6,18.5,17.7,2.57,2582,0.0149,9005,23453,0.035,0.12733209,0.000932836,0.008395522,0.014925373,0.001865672,0.058302239,0.001399254,0.759328358,0.026585821,0.000932836,0.447,0.475,0.063,0.011,0.003,0.01618123,0.17804878,0.035799523,0,0.014319809,0.167064439,0.00477327,0.162291169,0.190930788,0.050119332,0.081145585,0.026252983,0.040572792,0.090692124,0.028639618,0.040572792,0.050119332,0.016706444,104.6,1.3,0.5,2.6,19.7
28110,38.3,22.3,11.3,3.15,20057,0.0063,14027,45155,0.1426,0.050569733,0.001695075,0.005932762,0.062623599,0.020717582,0.143610509,0.001224221,0.677841605,0.035031547,0.000753367,0.472,0.486,0.023,0.013,0.007,0.034450652,0.06942034,0.015739179,0,0.001405284,0.233558179,0.005340079,0.111579539,0.161326588,0.057054525,0.088532884,0.036256324,0.074761102,0.06183249,0.044969084,0.043282743,0.044688027,0.019111861,104.5,2.3,0.5,0.4,20.8
28430,38.5,23.4,12.2,2.89,14167,-0.0042,13302,39221,0.3272,0.026870007,0.001971159,0.006535948,0.021890238,0.006328457,0.178649237,0.000933707,0.719265484,0.037037037,0.000518726,0.476,0.457,0.043,0.015,0.008,0.048837209,0.161175423,0.009345794,0,0.020249221,0.109034268,0.00623053,0.123831776,0.158878505,0.067757009,0.078660436,0.062305296,0.077102804,0.096573209,0.059968847,0.044392523,0.059968847,0.025700935,100.2,1.7,0.4,1.2,18
28580,45.5,15.8,22.4,2.22,545,-0.0371,9516,21722,0.058,0.272300469,0,0.013302034,0.071205008,0.000782473,0.024256651,0.004694836,0.609546166,0.002347418,0.001564945,0.39,0.479,0.121,0.007,0.003,0.003448276,0.352,0.111111111,0,0,0.063492063,0,0.174603175,0.142857143,0.095238095,0.079365079,0.031746032,0.079365079,0.063492063,0.063492063,0.047619048,0.015873016,0.031746032,101.4,0.9,0.7,6.6,33.7
28818,38.3,20.7,12.6,2.52,1237,0.0181,10436,26905,0.0178,0.150107991,0.001079914,0.006479482,0.060475162,0.003239741,0.093952484,0.001079914,0.673866091,0.006479482,0.003239741,0.47,0.466,0.058,0.004,0.002,0.006222222,0.169014085,0.065753425,0,0,0.216438356,0.005479452,0.18630137,0.150684932,0.04109589,0.093150685,0.021917808,0.038356164,0.071232877,0.057534247,0.024657534,0.02739726,0,114.3,1.4,0.5,1.6,24.4
28300,39.6,21.2,15.1,2.82,57117,-0.0038,10640,30880,0.0292,0.021997959,0.000992176,0.000963828,0.010346978,0.008079147,0.223579771,0.000708697,0.690497789,0.041926522,0.000907132,0.449,0.476,0.061,0.009,0.005,0.012292658,0.128286719,0.021198318,0,0.001839523,0.2716363,0.005343378,0.098458304,0.145760336,0.053083392,0.054046952,0.021899089,0.046601261,0.115451997,0.063507358,0.055798879,0.034337772,0.010949544,93.5,1.5,0.5,3.1,25.2
28500,37.4,21.9,10.9,2.95,52535,8e-04,10176,30733,0.0944,0.035330317,0.001013575,0.001013575,0.10200905,0.010425339,0.02881448,0.002135747,0.767746606,0.050895928,0.000615385,0.46,0.481,0.045,0.01,0.004,0.019510684,0.079272641,0.009845014,0,0.006628326,0.390388927,0.004191442,0.119699776,0.133053904,0.041524515,0.06277415,0.021444585,0.04903012,0.059557462,0.030509796,0.030119895,0.030802222,0.010429866,98.2,1.7,0.4,2.6,22.1
28939,31.9,29.6,4.7,3.06,28889,0.0343,12704,39143,0.0903,0.058977273,0.000852273,0.004034091,0.025738636,0.007272727,0.231363636,0.001420455,0.649375,0.020568182,0.000397727,0.471,0.478,0.039,0.008,0.004,0.026208933,0.068640646,0.018921476,0,0,0.238410596,0.002838221,0.094607379,0.17218543,0.063386944,0.056764428,0.040681173,0.056764428,0.093661306,0.048249763,0.051087985,0.055818354,0.006622517,102,1.7,0.4,0.9,16.7
28189,,,,,,,,,0.0024,0.397058824,0.014705882,0.024509804,0.019607843,0.004901961,0.132352941,0,0.37254902,0.034313725,0,0.431,0.472,0.084,0.008,0.006,0.0218509,0.220930233,0.095435685,0,0.012448133,0.136929461,0.049792531,0.149377593,0.112033195,0.095435685,0.037344398,0,0.033195021,0.10373444,0.024896266,0.10373444,0.020746888,0.024896266,105.8,1.3,0.7,2.5,22
28976,41.3,19.2,13.5,2.78,1606,0.0275,11875,33600,0.0919,0.165266106,0.001867414,0.013071895,0.014939309,0.000933707,0.016806723,0.000933707,0.776844071,0.006535948,0.00280112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28490,40,21.7,14.6,2.67,5445,0.0072,12807,34291,0.0986,0.117281553,0.00038835,0.010291262,0.02407767,0.005048544,0.086019417,0.000776699,0.736699029,0.018640777,0.000776699,0.468,0.468,0.042,0.014,0.008,0.07406015,0.191780822,0.024896266,0,0,0.101659751,0.015560166,0.245850622,0.130705394,0.060165975,0.054979253,0.052904564,0.074688797,0.088174274,0.053941909,0.044605809,0.040456432,0.011410788,107.8,1.5,0.4,3.1,20.4
28390,41.6,17.8,16.8,2.53,1624,0.0093,9739,24655,0.0228,0.150166113,0.001328904,0.002657807,0.052491694,0.000664452,0.099003322,0.000664452,0.681727575,0.010631229,0.000664452,0.392,0.519,0.08,0.006,0.003,0.007005254,0.18401937,0.050847458,0,0,0.420903955,0,0.288135593,0.06779661,0.025423729,0.033898305,0.008474576,0.005649718,0.042372881,0.02259887,0.02259887,0.011299435,0,101.8,1.3,0.6,3.9,15.1
28192,41.3,20.1,16.3,2.36,643,0,10515,26074,0.033,0.35059761,0.003187251,0.011155378,0.143426295,0.000796813,0.01752988,0.002390438,0.462151394,0.006374502,0.002390438,0.418,0.531,0.047,0.003,0,0.037735849,0.222222222,0.045454545,0,0.045454545,0.056818182,0.056818182,0.227272727,0.193181818,0.102272727,0.034090909,0.045454545,0.045454545,0.034090909,0.045454545,0.022727273,0.011363636,0.034090909,109.2,1.5,0.7,5.4,25.4
28194,45.6,13.1,20.3,1.91,153,-0.0192,12742,25153,0.0137,0.364985163,0.014836795,0.011869436,0.09495549,0,0.026706231,0,0.465875371,0.005934718,0.014836795,0.405,0.51,0.07,0.015,0,0.035,0.436170213,0.042857143,0,0,0.142857143,0.057142857,0.142857143,0.057142857,0.142857143,0.128571429,0,0.057142857,0.114285714,0.014285714,0.057142857,0.028571429,0.014285714,100,0.8,0.5,1,22.2
28660,35.9,28.2,9.9,3.3,50036,0.0412,19702,65201,0.3579,0.050689539,0.000706357,0.004002691,0.010528086,0.004238143,0.260073999,0.000571813,0.625462496,0.042953246,0.000773629,0.462,0.486,0.03,0.012,0.009,0.059561602,0.08444682,0.029537505,0,0.000777303,0.136027983,0.004663817,0.109599689,0.144966965,0.046249514,0.062572872,0.05635445,0.071900505,0.10415857,0.085503304,0.058686358,0.068013991,0.020598523,107.7,1.8,0.4,1,17.7
28413,37.7,24.9,11.3,2.81,7324,0.0279,12906,36820,0.0987,0.178418803,0.000915751,0.008547009,0.020299145,0.001984127,0.10546398,0.001831502,0.667735043,0.013278388,0.001526252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28737,41.1,15.4,14.9,2.34,208,0.0348,11323,26729,0.0095,0.283333333,0.002083333,0.002083333,0.160416667,0,0.039583333,0.004166667,0.4875,0.020833333,0,0.478,0.454,0.065,0.003,0,0.02173913,0.279411765,0.160305344,0,0,0.083969466,0.007633588,0.221374046,0.129770992,0.076335878,0.076335878,0,0.053435115,0.038167939,0.053435115,0.053435115,0.022900763,0.022900763,107.9,1.4,0.6,0.9,16
28596,47.7,14.9,28.2,2.08,497,-0.0158,8868,18836,0.009,0.330241187,0.001855288,0.005565863,0.092764378,0.001855288,0.022263451,0.003710575,0.530612245,0.009276438,0.001855288,0.456,0.462,0.078,0.002,0.002,0.00204499,0.266304348,0.193548387,0,0,0.241935484,0,0.169354839,0.137096774,0.048387097,0.048387097,0.008064516,0.008064516,0.064516129,0.008064516,0.048387097,0.016129032,0.008064516,102.1,1,0.7,6.9,22.5
